,상품코드,상세 페이지 url,이미지 url,가격
129,900637906,http://item.gmarket.co.kr/Item?goodscode=900637906&ver=638156349278809785,https://gdimg.gmarket.co.kr/900637906/still/300?ver=2023032821,"12,900원"
130,937468008,http://item.gmarket.co.kr/Item?goodscode=937468008&ver=638156349278809785,https://gdimg.gmarket.co.kr/937468008/still/300?ver=2023032821,"9,900원"
131,2568237082,http://item.gmarket.co.kr/Item?goodscode=2568237082&ver=638156349278809785,https://gdimg.gmarket.co.kr/2568237082/still/300?ver=2023032821,"9,290원"
132,363495418,http://item.gmarket.co.kr/Item?goodscode=363495418&ver=638156349278809785,https://gdimg.gmarket.co.kr/363495418/still/300?ver=2023032821,"22,900원"
133,2098226446,http://item.gmarket.co.kr/Item?goodscode=2098226446&ver=638156349278809785,https://gdimg.gmarket.co.kr/2098226446/still/300?ver=2023032821,"35,010원"
134,1589098023,http://item.gmarket.co.kr/Item?goodscode=1589098023&ver=638156349278809785,https://gdimg.gmarket.co.kr/1589098023/still/300?ver=2023032821,"41,900원"
135,1623051068,http://item.gmarket.co.kr/Item?goodscode=1623051068&ver=638156349278809785,https://gdimg.gmarket.co.kr/1623051068/still/300?ver=2023032821,"25,900원"
136,2380938484,http://item.gmarket.co.kr/Item?goodscode=2380938484&ver=638156349278809785,https://gdimg.gmarket.co.kr/2380938484/still/300?ver=2023032821,"20,000원"
137,2514308532,http://item.gmarket.co.kr/Item?goodscode=2514308532&ver=638156349278809785,https://gdimg.gmarket.co.kr/2514308532/still/300?ver=2023032821,"29,500원"
138,2451173992,http://item.gmarket.co.kr/Item?goodscode=2451173992&ver=638156349278809785,https://gdimg.gmarket.co.kr/2451173992/still/300?ver=2023032821,"240,000원"
139,2536084303,http://item.gmarket.co.kr/Item?goodscode=2536084303&ver=638156349278809785,https://gdimg.gmarket.co.kr/2536084303/still/300?ver=2023032821,"49,900원"
140,2847751465,http://item.gmarket.co.kr/Item?goodscode=2847751465&ver=638156349278809785,https://gdimg.gmarket.co.kr/2847751465/still/300?ver=2023032821,"22,500원"
141,2861381168,http://item.gmarket.co.kr/Item?goodscode=2861381168&ver=638156349278809785,https://gdimg.gmarket.co.kr/2861381168/still/300?ver=2023032821,"56,050원"
142,1779696398,http://item.gmarket.co.kr/Item?goodscode=1779696398&ver=638156349278809785,https://gdimg.gmarket.co.kr/1779696398/still/300?ver=2023032821,"11,180원"
143,2839627554,http://item.gmarket.co.kr/Item?goodscode=2839627554&ver=638156349278809785,https://gdimg.gmarket.co.kr/2839627554/still/300?ver=2023032821,"53,620원"
144,1771516558,http://item.gmarket.co.kr/Item?goodscode=1771516558&ver=638156349278809785,https://gdimg.gmarket.co.kr/1771516558/still/300?ver=2023032821,"18,900원"
145,462942360,http://item.gmarket.co.kr/Item?goodscode=462942360&ver=638156349278809785,https://gdimg.gmarket.co.kr/462942360/still/300?ver=2023032821,"9,500원"
146,2102040109,http://item.gmarket.co.kr/Item?goodscode=2102040109&ver=638156349278809785,https://gdimg.gmarket.co.kr/2102040109/still/300?ver=2023032821,"32,900원"
147,2778876733,http://item.gmarket.co.kr/Item?goodscode=2778876733&ver=638156349278809785,https://gdimg.gmarket.co.kr/2778876733/still/300?ver=2023032821,"14,900원"
148,2104251373,http://item.gmarket.co.kr/Item?goodscode=2104251373&ver=638156349278809785,https://gdimg.gmarket.co.kr/2104251373/still/300?ver=2023032821,"13,500원"
149,2179332383,http://item.gmarket.co.kr/Item?goodscode=2179332383&ver=638156349278809785,https://gdimg.gmarket.co.kr/2179332383/still/300?ver=2023032821,"13,900원"
150,2245367944,http://item.gmarket.co.kr/Item?goodscode=2245367944&ver=638156349278809785,https://gdimg.gmarket.co.kr/2245367944/still/300?ver=2023032821,"15,400원"
151,2790768299,http://item.gmarket.co.kr/Item?goodscode=2790768299&ver=638156349278809785,https://gdimg.gmarket.co.kr/2790768299/still/300?ver=2023032821,"17,500원"
152,2393193112,http://item.gmarket.co.kr/Item?goodscode=2393193112&ver=638156349278809785,https://gdimg.gmarket.co.kr/2393193112/still/300?ver=2023032821,"21,900원"
153,2817776657,http://item.gmarket.co.kr/Item?goodscode=2817776657&ver=638156349278809785,https://gdimg.gmarket.co.kr/2817776657/still/300?ver=2023032821,"21,900원"
154,1821519273,http://item.gmarket.co.kr/Item?goodscode=1821519273&ver=638156349278809785,https://gdimg.gmarket.co.kr/1821519273/still/300?ver=2023032821,"42,000원"
155,2061950099,http://item.gmarket.co.kr/Item?goodscode=2061950099&ver=638156349278809785,https://gdimg.gmarket.co.kr/2061950099/still/300?ver=2023032821,"8,220원"
156,1871631794,http://item.gmarket.co.kr/Item?goodscode=1871631794&ver=638156349278809785,https://gdimg.gmarket.co.kr/1871631794/still/300?ver=2023032821,"27,900원"
